Date,Tavg,Sunrise,Sunset,SnowFall,PrecipTotal,ResultDir,AvgSpeed,RH
2007-05-01,67.5,4.8,18.816666666666666,0.0,0.0,26.0,9.399999999999999,54.16666666666667
2007-05-02,51.5,4.783333333333333,18.833333333333332,0.0,0.0,3.0,13.4,73.61111111111111
2007-05-03,57.0,4.766666666666667,18.85,0.0,0.0,6.5,12.55,52.77777777777778
2007-05-04,58.0,4.733333333333333,18.866666666666667,0.0,0.0005,7.5,10.600000000000001,54.16666666666667
2007-05-05,60.0,4.716666666666667,18.883333333333333,0.0,0.001,7.0,11.75,40.27777777777778
2007-05-06,59.5,4.7,18.916666666666668,0.0,0.0,10.5,14.75,18.055555555555557
2007-05-07,66.0,4.683333333333334,18.933333333333334,0.0,0.0005,17.5,10.2,27.777777777777786
2007-05-08,69.0,4.65,18.95,0.0,0.0005,9.5,5.6,68.05555555555556
2007-05-09,69.5,4.633333333333333,18.966666666666665,0.0,0.075,8.0,6.050000000000001,72.22222222222223
2007-05-10,70.5,4.616666666666667,18.983333333333334,0.0,0.0,13.0,4.0,48.611111111111114
2007-05-11,61.0,4.6,19.0,0.0,0.0,19.5,12.850000000000001,50.0
2007-05-12,55.5,4.583333333333333,19.016666666666666,0.0,0.0,2.0,12.95,47.22222222222222
2007-05-13,56.5,4.566666666666666,19.033333333333335,0.0,0.0,12.5,7.85,33.33333333333334
2007-05-14,72.5,4.55,19.05,0.0,0.0,21.0,15.95,26.388888888888886
2007-05-15,69.0,4.533333333333333,19.066666666666666,0.0,0.49,26.0,11.55,63.88888888888889
2007-05-16,55.0,4.516666666666667,19.083333333333332,0.0,0.10500000000000001,36.0,12.0,65.27777777777777
2007-05-17,53.0,4.5,19.1,0.0,0.0,2.0,11.75,41.66666666666667
2007-05-18,57.0,4.483333333333333,19.116666666666667,0.0,0.0,23.5,6.5,26.388888888888886
2007-05-19,68.0,4.466666666666667,19.133333333333333,0.0,0.0,23.5,11.4,16.66666666666667
2007-05-20,56.5,4.45,19.15,0.0,0.09,3.5,10.2,55.55555555555556
2007-05-21,62.5,4.433333333333334,19.166666666666668,0.0,0.0,10.5,8.0,65.27777777777777
2007-05-22,72.5,4.416666666666667,19.183333333333334,0.0,0.0,17.0,10.399999999999999,23.611111111111114
2007-05-23,76.5,4.416666666666667,19.2,0.0,0.0,18.5,11.5,22.22222222222223
2007-05-24,76.5,4.4,19.216666666666665,0.0,0.0105,20.5,16.25,36.111111111111114
2007-05-25,62.5,4.383333333333334,19.233333333333334,0.0,0.0455,5.0,8.5,51.38888888888889
2007-05-26,58.5,4.366666666666666,19.25,0.0,0.645,16.0,7.5,90.27777777777777
2007-05-27,66.5,4.366666666666666,19.266666666666666,0.0,0.06,25.0,9.35,48.611111111111114
2007-05-28,65.0,4.35,19.266666666666666,0.0,0.0005,9.0,5.25,52.77777777777778
2007-05-29,75.5,4.35,19.283333333333335,0.0,0.0,17.0,6.95,52.77777777777778
2007-05-30,78.5,4.333333333333333,19.3,0.0,0.0,18.0,10.35,41.66666666666667
2007-05-31,73.0,4.333333333333333,19.316666666666666,0.0,0.27,18.5,9.55,66.66666666666667
2007-06-01,75.5,4.316666666666666,19.333333333333332,0.0,0.2,16.5,6.1,65.27777777777777
2007-06-02,74.0,4.316666666666666,19.333333333333332,0.0,0.0205,21.5,7.8,68.05555555555556
2007-06-03,70.5,4.3,19.35,0.0,0.165,24.5,6.95,70.83333333333334
2007-06-04,64.5,4.3,19.366666666666667,0.0,0.35,30.5,9.899999999999999,80.55555555555556
2007-06-05,56.5,4.283333333333333,19.383333333333333,0.0,0.345,4.0,7.85,75.0
2007-06-06,59.5,4.283333333333333,19.383333333333333,0.0,0.0055,16.0,11.0,66.66666666666667
2007-06-07,81.5,4.283333333333333,19.4,0.0,0.0,19.5,21.9,44.44444444444444
2007-06-08,70.5,4.283333333333333,19.416666666666668,0.0,0.0,27.0,13.100000000000001,52.77777777777778
